"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2026 18:00:00 - 01/01/2026 19:00:00","France (FR)","Italy (IT)","1309.16"
"01/01/2026 18:00:00 - 01/01/2026 19:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 18:00:00 - 01/01/2026 19:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 18:00:00 - 01/01/2026 19:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 18:00:00 - 01/01/2026 19:00:00","France (FR)","Spain (ES)","1816.53"
"01/01/2026 18:00:00 - 01/01/2026 19:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 18:00:00 - 01/01/2026 19:00:00","France (FR)","Switzerland (CH)","231.30"
"01/01/2026 18:00:00 - 01/01/2026 19:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 18:00:00 - 01/01/2026 19:00:00","France (FR)","United Kingdom (GB-CTY)","3564.55"
"01/01/2026 18:00:00 - 01/01/2026 19:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"01/01/2026 19:00:00 - 01/01/2026 20:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 19:00:00 - 01/01/2026 20:00:00","Belgium (BE)","France (FR)","1897.24"
"01/01/2026 19:00:00 - 01/01/2026 20:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 19:00:00 - 01/01/2026 20:00:00","Germany (DE)","France (FR)","1431.04"
"01/01/2026 19:00:00 - 01/01/2026 20:00:00","France (FR)","Italy (IT)","1339.68"
"01/01/2026 19:00:00 - 01/01/2026 20:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 19:00:00 - 01/01/2026 20:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 19:00:00 - 01/01/2026 20:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 19:00:00 - 01/01/2026 20:00:00","France (FR)","Spain (ES)","1417.45"
"01/01/2026 19:00:00 - 01/01/2026 20:00:00","Spain (ES)","France (FR)","0.00"
