"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Netherlands (NL)","Germany (DE)","0.00"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Germany (DE)","Norway (NO)","1382.08"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Norway (NO)","Germany (DE)","0.00"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Germany (DE)","Poland (PL)","1966.84"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Poland (PL)","Germany (DE)","0.00"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Germany (DE)","Sweden (SE)","0.00"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Sweden (SE)","Germany (DE)","201.49"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Germany (DE)","Switzerland (CH)","3710.87"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Switzerland (CH)","Germany (DE)","0.00"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Germany (DE)","Austria (AT)","2561.04"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Austria (AT)","Germany (DE)","0.00"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Germany (DE)","Belgium (BE)","172.34"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Belgium (BE)","Germany (DE)","0.00"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Germany (DE)","Czech Republic (CZ)","1707.31"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Czech Republic (CZ)","Germany (DE)","0.00"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Germany (DE)","Denmark (DK)","0.00"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Denmark (DK)","Germany (DE)","252.44"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Germany (DE)","France (FR)","1581.47"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Germany (DE)","Luxembourg (LU)","375.11"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Luxembourg (LU)","Germany (DE)","0.00"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Germany (DE)","Netherlands (NL)","1184.02"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Netherlands (NL)","Germany (DE)","0.00"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Germany (DE)","Norway (NO)","1397.94"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Norway (NO)","Germany (DE)","0.00"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Germany (DE)","Poland (PL)","1969.64"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Poland (PL)","Germany (DE)","0.00"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Germany (DE)","Sweden (SE)","0.00"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Sweden (SE)","Germany (DE)","76.16"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Germany (DE)","Switzerland (CH)","3894.77"
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","Switzerland (CH)","Germany (DE)","0.00"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Germany (DE)","Austria (AT)","2444.01"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Austria (AT)","Germany (DE)","0.00"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Germany (DE)","Belgium (BE)","4.72"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Belgium (BE)","Germany (DE)","0.00"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Germany (DE)","Czech Republic (CZ)","1709.45"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Czech Republic (CZ)","Germany (DE)","0.00"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Germany (DE)","Denmark (DK)","0.00"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Denmark (DK)","Germany (DE)","57.63"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Germany (DE)","France (FR)","1538.91"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Germany (DE)","Luxembourg (LU)","359.70"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Luxembourg (LU)","Germany (DE)","0.00"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Germany (DE)","Netherlands (NL)","1332.12"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Netherlands (NL)","Germany (DE)","0.00"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Germany (DE)","Norway (NO)","1398.65"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Norway (NO)","Germany (DE)","0.00"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Germany (DE)","Poland (PL)","1887.52"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Poland (PL)","Germany (DE)","0.00"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Germany (DE)","Sweden (SE)","0.00"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Sweden (SE)","Germany (DE)","149.86"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Germany (DE)","Switzerland (CH)","3868.33"
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","Switzerland (CH)","Germany (DE)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Germany (DE)","Austria (AT)","2617.50"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Austria (AT)","Germany (DE)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Germany (DE)","Belgium (BE)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Belgium (BE)","Germany (DE)","71.71"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Germany (DE)","Czech Republic (CZ)","1819.15"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Czech Republic (CZ)","Germany (DE)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Germany (DE)","Denmark (DK)","136.21"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Denmark (DK)","Germany (DE)","0.00"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","Germany (DE)","France (FR)","1601.29"
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","France (FR)","Germany (DE)","0.00"
